NumeroLancamento,DataCompetencia,DW,Local,Diff
350716,2025-10-01,0.00,1155390.89,-1155390.89
353572,2025-11-01,1033685.45,0.00,1033685.45
355067,2025-11-01,734701.00,0.00,734701.00
352550,2025-10-01,0.00,734701.00,-734701.00
355221,2025-11-01,704030.14,0.00,704030.14
354839,2025-11-01,531267.53,0.00,531267.53
352113,2025-10-01,0.00,531267.53,-531267.53
350229,2025-10-01,0.00,407758.33,-407758.33
352555,2025-11-01,407703.33,0.00,407703.33
353567,2025-10-01,0.00,388511.42,-388511.42
355281,2025-11-01,366923.92,0.00,366923.92
352111,2025-10-01,0.00,366923.92,-366923.92
355282,2025-11-01,279675.00,0.00,279675.00
352112,2025-10-01,0.00,279675.00,-279675.00
354941,2025-11-01,234113.28,0.00,234113.28
351975,2025-10-01,0.00,234113.28,-234113.28
354859,2025-11-01,224322.84,0.00,224322.84
351607,2025-10-01,0.00,220442.18,-220442.18
353566,2025-10-01,0.00,200341.40,-200341.40
352766,2025-11-01,160119.00,0.00,160119.00
350038,2025-10-01,0.00,160119.00,-160119.00
354834,2025-11-01,151519.67,0.00,151519.67
352520,2025-10-01,0.00,143203.67,-143203.67
354484,2025-11-01,141126.40,0.00,141126.40
351620,2025-10-01,0.00,136960.00,-136960.00
354069,2025-11-01,109021.00,0.00,109021.00
355191,2025-11-01,107671.86,0.00,107671.86
353052,2025-10-01,0.00,107671.86,-107671.86
352767,2025-11-01,105583.50,0.00,105583.50
350039,2025-10-01,0.00,105583.50,-105583.50
354846,2025-11-01,96951.00,0.00,96951.00
352337,2025-10-01,0.00,92259.00,-92259.00
354659,2025-11-01,91413.96,0.00,91413.96
351967,2025-10-01,0.00,91413.96,-91413.96
354663,2025-11-01,84808.75,0.00,84808.75
351969,2025-10-01,0.00,84808.75,-84808.75
354518,2025-11-01,82905.67,0.00,82905.67
351667,2025-10-01,0.00,82905.67,-82905.67
352554,2025-11-01,74180.75,0.00,74180.75
350231,2025-10-01,0.00,74010.07,-74010.07
354241,2025-11-01,70195.00,0.00,70195.00
355516,2025-11-01,68038.32,0.00,68038.32
351618,2025-10-01,0.00,67760.74,-67760.74
354194,2025-11-01,60465.13,0.00,60465.13
354942,2025-11-01,59334.24,0.00,59334.24
351976,2025-10-01,0.00,58294.46,-58294.46
354853,2025-11-01,56970.00,0.00,56970.00
351577,2025-10-01,0.00,56928.41,-56928.41
353142,2025-10-01,0.00,54979.56,-54979.56
354025,2025-11-01,53212.50,0.00,53212.50
350676,2025-10-01,0.00,53212.50,-53212.50
355217,2025-11-01,47383.82,0.00,47383.82
354511,2025-11-01,46948.08,0.00,46948.08
351659,2025-10-01,0.00,46948.08,-46948.08
351654,2025-10-01,0.00,44045.40,-44045.40
354507,2025-11-01,43835.66,0.00,43835.66
351622,2025-10-01,0.00,40753.47,-40753.47
354528,2025-11-01,39852.57,0.00,39852.57
