NumeroLancamento,DataCompetencia,DW,Local,Diff
351683,2025-10-01,0.00,39469.21,-39469.21
352198,2025-10-01,0.00,39336.75,-39336.75
351631,2025-10-01,0.00,36921.06,-36921.06
354575,2025-11-01,36751.13,0.00,36751.13
351576,2025-10-01,0.00,35959.13,-35959.13
354494,2025-11-01,35927.68,0.00,35927.68
354537,2025-11-01,35372.00,0.00,35372.00
351703,2025-10-01,0.00,35372.00,-35372.00
354486,2025-11-01,35051.88,0.00,35051.88
354772,2025-11-01,34231.49,0.00,34231.49
352335,2025-10-01,0.00,34231.49,-34231.49
354854,2025-11-01,31650.00,0.00,31650.00
352188,2025-10-01,0.00,31100.70,-31100.70
353141,2025-10-01,0.00,30544.20,-30544.20
354540,2025-11-01,26967.98,0.00,26967.98
351707,2025-10-01,0.00,26967.98,-26967.98
354945,2025-11-01,25078.26,0.00,25078.26
354943,2025-11-01,23580.00,0.00,23580.00
351977,2025-10-01,0.00,23580.00,-23580.00
353063,2025-10-01,0.00,23127.73,-23127.73
354519,2025-11-01,21600.00,0.00,21600.00
351668,2025-10-01,0.00,21600.00,-21600.00
351569,2025-10-01,0.00,20173.19,-20173.19
351608,2025-10-01,0.00,19683.74,-19683.74
354489,2025-11-01,19327.41,0.00,19327.41
351625,2025-10-01,0.00,19327.41,-19327.41
354479,2025-11-01,19247.51,0.00,19247.51
354498,2025-11-01,18971.86,0.00,18971.86
351643,2025-10-01,0.00,18971.86,-18971.86
355190,2025-11-01,18951.70,0.00,18951.70
352338,2025-10-01,0.00,18951.70,-18951.70
344956,2025-10-01,0.00,-17980.00,17980.00
354568,2025-11-01,17445.52,0.00,17445.52
354940,2025-11-01,16655.56,0.00,16655.56
351973,2025-10-01,0.00,16655.56,-16655.56
354944,2025-11-01,15980.00,0.00,15980.00
351979,2025-10-01,0.00,15980.00,-15980.00
354525,2025-11-01,15058.35,0.00,15058.35
351679,2025-10-01,0.00,15058.35,-15058.35
352186,2025-10-01,0.00,14690.00,-14690.00
354482,2025-11-01,14478.72,0.00,14478.72
351616,2025-10-01,0.00,14478.72,-14478.72
354553,2025-11-01,14360.00,0.00,14360.00
350129,2025-10-01,0.00,13840.00,-13840.00
351552,2025-10-01,0.00,13761.67,-13761.67
351574,2025-10-01,0.00,13177.12,-13177.12
354573,2025-11-01,13161.70,0.00,13161.70
353804,2025-11-01,12936.00,0.00,12936.00
354517,2025-11-01,12400.00,0.00,12400.00
355241,2025-11-01,12220.34,0.00,12220.34
352519,2025-10-01,0.00,12220.34,-12220.34
353134,2025-11-01,12042.80,0.00,12042.80
354549,2025-11-01,11927.71,0.00,11927.71
351547,2025-10-01,0.00,11927.71,-11927.71
351146,2025-11-01,11588.01,0.00,11588.01
347187,2025-10-01,0.00,11588.01,-11588.01
354515,2025-11-01,11550.00,0.00,11550.00
351664,2025-10-01,0.00,11550.00,-11550.00
351572,2025-10-01,0.00,11439.74,-11439.74
354490,2025-11-01,11219.90,0.00,11219.90
351626,2025-10-01,0.00,11219.90,-11219.90
354513,2025-11-01,11200.00,0.00,11200.00
354514,2025-11-01,11200.00,0.00,11200.00
351662,2025-10-01,0.00,11200.00,-11200.00
351663,2025-10-01,0.00,11200.00,-11200.00
351666,2025-10-01,0.00,10746.67,-10746.67
351553,2025-10-01,0.00,10320.00,-10320.00
354571,2025-11-01,10236.41,0.00,10236.41
353831,2025-11-01,10138.00,0.00,10138.00
352075,2025-11-01,10033.00,0.00,10033.00
354660,2025-11-01,9800.00,0.00,9800.00
353152,2025-11-01,9474.21,0.00,9474.21
349812,2025-10-01,0.00,9474.21,-9474.21
355208,2025-11-01,8973.58,0.00,8973.58
350772,2025-10-01,0.00,8947.86,-8947.86
354516,2025-11-01,8786.70,0.00,8786.70
351665,2025-10-01,0.00,8786.70,-8786.70
354864,2025-11-01,8552.62,0.00,8552.62
351980,2025-10-01,0.00,8552.62,-8552.62
353867,2025-11-01,8524.86,0.00,8524.86
353796,2025-11-01,8386.48,0.00,8386.48
352692,2025-11-01,8267.99,0.00,8267.99
350415,2025-10-01,0.00,8150.85,-8150.85
353801,2025-11-01,7846.00,0.00,7846.00
354480,2025-11-01,7723.26,0.00,7723.26
351609,2025-10-01,0.00,7569.36,-7569.36
351706,2025-10-01,0.00,7284.81,-7284.81
352154,2025-10-01,0.00,7260.00,-7260.00
354701,2025-11-01,7233.63,0.00,7233.63
351900,2025-11-01,7186.53,0.00,7186.53
346201,2025-10-01,0.00,7156.61,-7156.61
347865,2025-10-01,0.00,7130.85,-7130.85
354527,2025-11-01,7120.00,0.00,7120.00
351681,2025-10-01,0.00,7120.00,-7120.00
349777,2025-11-01,6950.68,0.00,6950.68
351697,2025-10-01,0.00,6700.00,-6700.00
351566,2025-10-01,0.00,6646.94,-6646.94
353449,2025-11-01,6615.00,0.00,6615.00
351695,2025-11-01,6500.00,0.00,6500.00
348049,2025-10-01,0.00,6500.00,-6500.00
345227,2025-10-01,0.00,-6486.00,6486.00
354539,2025-11-01,6428.76,0.00,6428.76
352765,2025-10-01,0.00,6122.01,-6122.01
351570,2025-10-01,0.00,6079.33,-6079.33
354533,2025-11-01,6043.16,0.00,6043.16
351694,2025-10-01,0.00,6043.16,-6043.16
354576,2025-11-01,6030.00,0.00,6030.00
354850,2025-11-01,5715.47,0.00,5715.47
351974,2025-10-01,0.00,5715.47,-5715.47
349639,2025-10-01,0.00,5624.56,-5624.56
354770,2025-11-01,5600.00,0.00,5600.00
351148,2025-11-01,5463.63,0.00,5463.63
347189,2025-10-01,0.00,5463.63,-5463.63
354529,2025-11-01,5424.71,0.00,5424.71
351690,2025-10-01,0.00,5424.71,-5424.71
354493,2025-11-01,5414.48,0.00,5414.48
351630,2025-10-01,0.00,5410.98,-5410.98
351575,2025-10-01,0.00,5382.03,-5382.03
350137,2025-10-01,0.00,5379.12,-5379.12
354559,2025-11-01,5227.37,0.00,5227.37
351558,2025-10-01,0.00,5227.37,-5227.37
351909,2025-11-01,5161.42,0.00,5161.42
353882,2025-11-01,5064.00,0.00,5064.00
345005,2025-10-01,0.00,-5034.00,5034.00
351485,2025-10-01,0.00,5000.00,-5000.00
353829,2025-11-01,4980.00,0.00,4980.00
344650,2025-10-01,0.00,-4960.00,4960.00
354495,2025-11-01,4895.00,0.00,4895.00
351634,2025-10-01,0.00,4895.00,-4895.00
354697,2025-11-01,4768.50,0.00,4768.50
352460,2025-10-01,0.00,4741.94,-4741.94
354541,2025-11-01,4693.04,0.00,4693.04
351709,2025-10-01,0.00,4693.04,-4693.04
354726,2025-11-01,4591.26,0.00,4591.26
351545,2025-10-01,0.00,4572.67,-4572.67
354696,2025-11-01,4533.63,0.00,4533.63
354504,2025-11-01,4524.68,0.00,4524.68
351651,2025-10-01,0.00,4524.68,-4524.68
354497,2025-11-01,4500.00,0.00,4500.00
351640,2025-10-01,0.00,4500.00,-4500.00
354562,2025-11-01,4464.53,0.00,4464.53
354574,2025-11-01,4425.22,0.00,4425.22
354725,2025-11-01,4370.00,0.00,4370.00
346993,2025-10-01,0.00,-4333.00,4333.00
351657,2025-10-01,0.00,4312.35,-4312.35
351559,2025-10-01,0.00,4306.59,-4306.59
350120,2025-10-01,0.00,4296.00,-4296.00
354569,2025-11-01,4290.00,0.00,4290.00
345014,2025-10-01,0.00,-4284.00,4284.00
351428,2025-10-01,0.00,4255.97,-4255.97
351564,2025-10-01,0.00,4179.92,-4179.92
353857,2025-11-01,4172.03,0.00,4172.03
354502,2025-11-01,4159.20,0.00,4159.20
351648,2025-10-01,0.00,4159.20,-4159.20
354550,2025-11-01,4150.00,0.00,4150.00
351549,2025-10-01,0.00,4150.00,-4150.00
349781,2025-11-01,4113.96,0.00,4113.96
346046,2025-10-01,0.00,4113.96,-4113.96
350288,2025-11-01,4066.33,0.00,4066.33
346870,2025-10-01,0.00,4066.33,-4066.33
353802,2025-11-01,4043.22,0.00,4043.22
354567,2025-11-01,4025.92,0.00,4025.92
351568,2025-10-01,0.00,4025.92,-4025.92
350122,2025-10-01,0.00,4020.00,-4020.00
353832,2025-11-01,4016.00,0.00,4016.00
354488,2025-11-01,3995.00,0.00,3995.00
351624,2025-10-01,0.00,3995.00,-3995.00
352414,2025-11-01,3994.90,0.00,3994.90
354664,2025-11-01,3984.00,0.00,3984.00
348484,2025-10-01,0.00,3945.11,-3945.11
354771,2025-11-01,3907.77,0.00,3907.77
354521,2025-11-01,3900.00,0.00,3900.00
347005,2025-10-01,0.00,-3900.00,3900.00
351671,2025-10-01,0.00,3900.00,-3900.00
351970,2025-10-01,0.00,3818.00,-3818.00
346053,2025-10-01,0.00,3812.89,-3812.89
354499,2025-11-01,3810.00,0.00,3810.00
351644,2025-10-01,0.00,3810.00,-3810.00
352776,2025-11-01,3800.38,0.00,3800.38
350277,2025-11-01,3800.00,0.00,3800.00
346341,2025-10-01,0.00,3800.00,-3800.00
350299,2025-10-01,0.00,3735.96,-3735.96
349787,2025-11-01,3734.52,0.00,3734.52
349786,2025-11-01,3727.32,0.00,3727.32
349768,2025-11-01,3723.26,0.00,3723.26
346036,2025-10-01,0.00,3723.26,-3723.26
354548,2025-11-01,3718.30,0.00,3718.30
346052,2025-10-01,0.00,3714.12,-3714.12
354485,2025-11-01,3710.00,0.00,3710.00
351621,2025-10-01,0.00,3710.00,-3710.00
354561,2025-11-01,3630.00,0.00,3630.00
351562,2025-10-01,0.00,3630.00,-3630.00
354510,2025-11-01,3619.01,0.00,3619.01
354526,2025-11-01,3560.00,0.00,3560.00
351680,2025-10-01,0.00,3560.00,-3560.00
350135,2025-10-01,0.00,3551.91,-3551.91
351912,2025-11-01,3549.66,0.00,3549.66
348097,2025-10-01,0.00,3548.51,-3548.51
351696,2025-10-01,0.00,3540.55,-3540.55
347672,2025-10-01,0.00,3530.87,-3530.87
350150,2025-10-01,0.00,3516.66,-3516.66
354500,2025-11-01,3500.00,0.00,3500.00
354501,2025-11-01,3500.00,0.00,3500.00
351645,2025-10-01,0.00,3500.00,-3500.00
351646,2025-10-01,0.00,3500.00,-3500.00
354535,2025-11-01,3470.00,0.00,3470.00
351158,2025-11-01,3442.67,0.00,3442.67
354481,2025-11-01,3418.11,0.00,3418.11
348138,2025-10-01,0.00,-3390.00,3390.00
351610,2025-10-01,0.00,3350.00,-3350.00
351160,2025-11-01,3315.25,0.00,3315.25
344644,2025-10-01,0.00,-3288.00,3288.00
347174,2025-10-01,0.00,3270.36,-3270.36
350546,2025-11-01,3266.12,0.00,3266.12
347858,2025-10-01,0.00,3249.19,-3249.19
354855,2025-11-01,3234.60,0.00,3234.60
351157,2025-11-01,3224.55,0.00,3224.55
347671,2025-10-01,0.00,3217.20,-3217.20
351150,2025-11-01,3213.21,0.00,3213.21
347191,2025-10-01,0.00,3213.21,-3213.21
347383,2025-10-01,0.00,-3199.24,3199.24
354551,2025-11-01,3191.56,0.00,3191.56
351550,2025-10-01,0.00,3191.56,-3191.56
346054,2025-10-01,0.00,3175.26,-3175.26
351905,2025-11-01,3165.00,0.00,3165.00
354570,2025-11-01,3165.00,0.00,3165.00
348093,2025-10-01,0.00,3165.00,-3165.00
349788,2025-11-01,3160.98,0.00,3160.98
344591,2025-10-01,0.00,-3092.40,3092.40
354125,2025-11-01,3054.99,0.00,3054.99
354563,2025-11-01,3051.53,0.00,3051.53
351565,2025-10-01,0.00,3051.53,-3051.53
346035,2025-10-01,0.00,3044.36,-3044.36
344675,2025-10-01,0.00,-3028.00,3028.00
350286,2025-11-01,3000.00,0.00,3000.00
346866,2025-10-01,0.00,3000.00,-3000.00
354487,2025-11-01,2995.00,0.00,2995.00
351623,2025-10-01,0.00,2995.00,-2995.00
349767,2025-11-01,2983.70,0.00,2983.70
351154,2025-11-01,2980.65,0.00,2980.65
347006,2025-10-01,0.00,-2972.00,2972.00
350151,2025-10-01,0.00,2970.00,-2970.00
354530,2025-11-01,2965.00,0.00,2965.00
351691,2025-10-01,0.00,2965.00,-2965.00
350283,2025-11-01,2944.29,0.00,2944.29
346862,2025-10-01,0.00,2944.29,-2944.29
350132,2025-10-01,0.00,2940.00,-2940.00
354492,2025-11-01,2933.51,0.00,2933.51
354556,2025-11-01,2924.55,0.00,2924.55
351555,2025-10-01,0.00,2924.55,-2924.55
353146,2025-11-01,2918.53,0.00,2918.53
353144,2025-11-01,2918.53,0.00,2918.53
349806,2025-10-01,0.00,2918.53,-2918.53
349808,2025-10-01,0.00,2918.53,-2918.53
352155,2025-10-01,0.00,2916.84,-2916.84
347670,2025-10-01,0.00,2904.46,-2904.46
348091,2025-10-01,0.00,2862.51,-2862.51
350543,2025-11-01,2839.77,0.00,2839.77
346872,2025-10-01,0.00,2839.77,-2839.77
351670,2025-10-01,0.00,2837.31,-2837.31
351907,2025-11-01,2830.00,0.00,2830.00
351628,2025-10-01,0.00,2802.34,-2802.34
350550,2025-11-01,2801.82,0.00,2801.82
347180,2025-10-01,0.00,2801.82,-2801.82
352099,2025-10-01,0.00,2800.59,-2800.59
354509,2025-11-01,2800.00,0.00,2800.00
351656,2025-10-01,0.00,2800.00,-2800.00
353148,2025-11-01,2799.00,0.00,2799.00
349810,2025-10-01,0.00,2799.00,-2799.00
348095,2025-10-01,0.00,2773.90,-2773.90
350548,2025-11-01,2764.64,0.00,2764.64
347178,2025-10-01,0.00,2764.64,-2764.64
349713,2025-10-01,0.00,2761.02,-2761.02
349796,2025-11-01,2745.00,0.00,2745.00
346335,2025-10-01,0.00,2745.00,-2745.00
352159,2025-10-01,0.00,2736.00,-2736.00
354554,2025-11-01,2732.67,0.00,2732.67
354552,2025-11-01,2725.46,0.00,2725.46
351551,2025-10-01,0.00,2725.46,-2725.46
351908,2025-11-01,2715.10,0.00,2715.10
349771,2025-11-01,2680.00,0.00,2680.00
354532,2025-11-01,2680.00,0.00,2680.00
346039,2025-10-01,0.00,2680.00,-2680.00
351693,2025-10-01,0.00,2680.00,-2680.00
349778,2025-11-01,2662.97,0.00,2662.97
346202,2025-10-01,0.00,2653.62,-2653.62
354538,2025-11-01,2639.82,0.00,2639.82
351705,2025-10-01,0.00,2639.82,-2639.82
351639,2025-10-01,0.00,2637.19,-2637.19
350551,2025-11-01,2632.99,0.00,2632.99
347181,2025-10-01,0.00,2632.99,-2632.99
350287,2025-11-01,2600.00,0.00,2600.00
354523,2025-11-01,2600.00,0.00,2600.00
347185,2025-10-01,0.00,2600.00,-2600.00
351677,2025-10-01,0.00,2600.00,-2600.00
350552,2025-11-01,2536.56,0.00,2536.56
350123,2025-10-01,0.00,2532.00,-2532.00
349794,2025-11-01,2520.39,0.00,2520.39
346324,2025-10-01,0.00,2520.39,-2520.39
351911,2025-11-01,2517.15,0.00,2517.15
348100,2025-10-01,0.00,2517.15,-2517.15
354536,2025-11-01,2483.57,0.00,2483.57
347182,2025-10-01,0.00,2482.81,-2482.81
350124,2025-10-01,0.00,2454.00,-2454.00
351627,2025-10-01,0.00,2444.71,-2444.71
351152,2025-11-01,2440.00,0.00,2440.00
353147,2025-11-01,2440.00,0.00,2440.00
347668,2025-10-01,0.00,2440.00,-2440.00
349809,2025-10-01,0.00,2440.00,-2440.00
351702,2025-10-01,0.00,2433.29,-2433.29
351971,2025-10-01,0.00,2428.61,-2428.61
348096,2025-10-01,0.00,2421.96,-2421.96
347863,2025-10-01,0.00,2421.71,-2421.71
354503,2025-11-01,2410.00,0.00,2410.00
351649,2025-10-01,0.00,2410.00,-2410.00
349776,2025-11-01,2401.84,0.00,2401.84
346042,2025-10-01,0.00,2401.84,-2401.84
351567,2025-10-01,0.00,2400.00,-2400.00
353810,2025-11-01,2393.24,0.00,2393.24
354848,2025-11-01,2380.22,0.00,2380.22
351100,2025-10-01,0.00,2377.76,-2377.76
351899,2025-11-01,2365.08,0.00,2365.08
354141,2025-11-01,2352.38,0.00,2352.38
351910,2025-11-01,2350.00,0.00,2350.00
353805,2025-11-01,2342.85,0.00,2342.85
344806,2025-10-01,0.00,-2330.00,2330.00
352158,2025-10-01,0.00,2318.00,-2318.00
354546,2025-11-01,2300.00,0.00,2300.00
354505,2025-11-01,2298.17,0.00,2298.17
351653,2025-10-01,0.00,2298.17,-2298.17
354849,2025-11-01,2260.00,0.00,2260.00
351972,2025-10-01,0.00,2260.00,-2260.00
354555,2025-11-01,2250.00,0.00,2250.00
351554,2025-10-01,0.00,2250.00,-2250.00
354496,2025-11-01,2248.28,0.00,2248.28
351636,2025-10-01,0.00,2248.28,-2248.28
351692,2025-10-01,0.00,2246.78,-2246.78
353817,2025-11-01,2240.00,0.00,2240.00
349798,2025-11-01,2220.31,0.00,2220.31
346337,2025-10-01,0.00,2220.31,-2220.31
352207,2025-10-01,0.00,2210.00,-2210.00
354508,2025-11-01,2201.43,0.00,2201.43
351655,2025-10-01,0.00,2201.43,-2201.43
350289,2025-11-01,2195.96,0.00,2195.96
346871,2025-10-01,0.00,2195.96,-2195.96
344802,2025-10-01,0.00,-2185.00,2185.00
345065,2025-10-01,0.00,-2148.00,2148.00
354578,2025-11-01,2145.50,0.00,2145.50
351674,2025-10-01,0.00,2143.40,-2143.40
351902,2025-11-01,2141.28,0.00,2141.28
350549,2025-11-01,2104.92,0.00,2104.92
347179,2025-10-01,0.00,2104.92,-2104.92
354543,2025-11-01,2100.00,0.00,2100.00
351614,2025-10-01,0.00,2100.00,-2100.00
343962,2025-10-01,0.00,-2098.00,2098.00
348099,2025-10-01,0.00,2091.68,-2091.68
348090,2025-10-01,0.00,2091.18,-2091.18
344833,2025-10-01,0.00,-2083.10,2083.10
350553,2025-11-01,2069.34,0.00,2069.34
347183,2025-10-01,0.00,2069.34,-2069.34
351915,2025-11-01,2050.00,0.00,2050.00
351615,2025-10-01,0.00,2030.00,-2030.00
349783,2025-11-01,2026.23,0.00,2026.23
346050,2025-10-01,0.00,2026.23,-2026.23
347861,2025-10-01,0.00,2024.88,-2024.88
349797,2025-11-01,2005.06,0.00,2005.06
346336,2025-10-01,0.00,2005.06,-2005.06
354557,2025-11-01,2000.00,0.00,2000.00
354558,2025-11-01,2000.00,0.00,2000.00
351556,2025-10-01,0.00,2000.00,-2000.00
351557,2025-10-01,0.00,2000.00,-2000.00
352202,2025-10-01,0.00,2000.00,-2000.00
346873,2025-10-01,0.00,1999.37,-1999.37
349782,2025-11-01,1990.72,0.00,1990.72
346049,2025-10-01,0.00,1990.72,-1990.72
351678,2025-10-01,0.00,1990.72,-1990.72
344987,2025-10-01,0.00,-1976.00,1976.00
350544,2025-11-01,1959.53,0.00,1959.53
352153,2025-10-01,0.00,1959.40,-1959.40
352197,2025-10-01,0.00,1951.02,-1951.02
354724,2025-11-01,1944.00,0.00,1944.00
347667,2025-10-01,0.00,1943.54,-1943.54
349769,2025-11-01,1941.04,0.00,1941.04
349785,2025-11-01,1940.52,0.00,1940.52
349671,2025-10-01,0.00,1940.52,-1940.52
350140,2025-10-01,0.00,1937.96,-1937.96
346037,2025-10-01,0.00,1924.92,-1924.92
350285,2025-11-01,1917.20,0.00,1917.20
346864,2025-10-01,0.00,1917.20,-1917.20
349784,2025-11-01,1900.00,0.00,1900.00
346051,2025-10-01,0.00,1900.00,-1900.00
352195,2025-10-01,0.00,1894.59,-1894.59
351913,2025-11-01,1888.31,0.00,1888.31
348098,2025-10-01,0.00,1888.31,-1888.31
351164,2025-11-01,1878.43,0.00,1878.43
347862,2025-10-01,0.00,1878.43,-1878.43
351916,2025-11-01,1877.41,0.00,1877.41
346860,2025-10-01,0.00,1870.08,-1870.08
346992,2025-10-01,0.00,-1870.00,1870.00
344805,2025-10-01,0.00,-1864.00,1864.00
354599,2025-11-01,1858.01,0.00,1858.01
354560,2025-11-01,1850.00,0.00,1850.00
351560,2025-10-01,0.00,1850.00,-1850.00
349670,2025-10-01,0.00,1840.00,-1840.00
349791,2025-11-01,1836.93,0.00,1836.93
346057,2025-10-01,0.00,1836.93,-1836.93
350280,2025-11-01,1820.48,0.00,1820.48
346045,2025-10-01,0.00,1810.16,-1810.16
354506,2025-11-01,1810.00,0.00,1810.00
351652,2025-10-01,0.00,1810.00,-1810.00
351149,2025-11-01,1805.00,0.00,1805.00
354547,2025-11-01,1805.00,0.00,1805.00
353145,2025-11-01,1805.00,0.00,1805.00
347190,2025-10-01,0.00,1805.00,-1805.00
349807,2025-10-01,0.00,1805.00,-1805.00
348277,2025-10-01,0.00,1801.20,-1801.20
350282,2025-11-01,1786.00,0.00,1786.00
352792,2025-10-01,0.00,1786.00,-1786.00
346056,2025-10-01,0.00,1780.96,-1780.96
349780,2025-11-01,1774.09,0.00,1774.09
350278,2025-11-01,1770.51,0.00,1770.51
346342,2025-10-01,0.00,1770.51,-1770.51
351203,2025-10-01,0.00,1760.82,-1760.82
353818,2025-11-01,1757.34,0.00,1757.34
353149,2025-11-01,1750.00,0.00,1750.00
349811,2025-10-01,0.00,1750.00,-1750.00
353143,2025-11-01,1741.25,0.00,1741.25
349805,2025-10-01,0.00,1741.25,-1741.25
348092,2025-10-01,0.00,1736.52,-1736.52
353799,2025-11-01,1729.70,0.00,1729.70
348101,2025-10-01,0.00,1729.67,-1729.67
351914,2025-11-01,1727.99,0.00,1727.99
351901,2025-11-01,1724.96,0.00,1724.96
348089,2025-10-01,0.00,1724.96,-1724.96
352156,2025-10-01,0.00,1716.00,-1716.00
349766,2025-11-01,1714.09,0.00,1714.09
346034,2025-10-01,0.00,1714.09,-1714.09
349792,2025-11-01,1710.76,0.00,1710.76
346058,2025-10-01,0.00,1710.76,-1710.76
351153,2025-11-01,1705.00,0.00,1705.00
347669,2025-10-01,0.00,1705.00,-1705.00
351904,2025-11-01,1698.08,0.00,1698.08
354512,2025-11-01,1687.42,0.00,1687.42
351660,2025-10-01,0.00,1687.42,-1687.42
354544,2025-11-01,1685.36,0.00,1685.36
346059,2025-10-01,0.00,1678.79,-1678.79
347673,2025-10-01,0.00,1649.57,-1649.57
351159,2025-11-01,1647.98,0.00,1647.98
354736,2025-11-01,1645.29,0.00,1645.29
350296,2025-10-01,0.00,1640.00,-1640.00
349770,2025-11-01,1636.79,0.00,1636.79
346038,2025-10-01,0.00,1636.79,-1636.79
349774,2025-11-01,1636.28,0.00,1636.28
346040,2025-10-01,0.00,1636.28,-1636.28
351906,2025-11-01,1632.16,0.00,1632.16
348094,2025-10-01,0.00,1632.16,-1632.16
350284,2025-11-01,1621.88,0.00,1621.88
346863,2025-10-01,0.00,1621.88,-1621.88
351162,2025-11-01,1605.56,0.00,1605.56
347860,2025-10-01,0.00,1605.56,-1605.56
352151,2025-10-01,0.00,1600.50,-1600.50
349779,2025-11-01,1586.00,0.00,1586.00
346203,2025-10-01,0.00,1586.00,-1586.00
352152,2025-10-01,0.00,1552.98,-1552.98
350279,2025-11-01,1539.62,0.00,1539.62
346343,2025-10-01,0.00,1539.62,-1539.62
352157,2025-10-01,0.00,1538.38,-1538.38
354856,2025-11-01,1509.18,0.00,1509.18
345228,2025-10-01,0.00,-1500.00,1500.00
349775,2025-11-01,1488.30,0.00,1488.30
346041,2025-10-01,0.00,1488.30,-1488.30
352203,2025-10-01,0.00,1482.80,-1482.80
352205,2025-10-01,0.00,1479.00,-1479.00
351430,2025-10-01,0.00,1461.50,-1461.50
347402,2025-11-01,-1447.52,0.00,-1447.52
354734,2025-11-01,1439.90,0.00,1439.90
350128,2025-10-01,0.00,1429.41,-1429.41
348576,2025-11-01,-1400.00,0.00,-1400.00
350666,2025-10-01,0.00,1393.96,-1393.96
350133,2025-10-01,0.00,1386.21,-1386.21
352209,2025-10-01,0.00,1383.60,-1383.60
353082,2025-11-01,1370.00,0.00,1370.00
345150,2025-10-01,0.00,-1349.00,1349.00
350395,2025-10-01,0.00,1349.00,-1349.00
353819,2025-11-01,1342.00,0.00,1342.00
354739,2025-11-01,1338.48,0.00,1338.48
353081,2025-11-01,1332.00,0.00,1332.00
354242,2025-11-01,1319.24,0.00,1319.24
345066,2025-10-01,0.00,-1310.00,1310.00
353823,2025-11-01,1308.12,0.00,1308.12
345226,2025-10-01,0.00,-1292.00,1292.00
344828,2025-10-01,0.00,-1279.60,1279.60
352184,2025-10-01,0.00,1274.55,-1274.55
351571,2025-10-01,0.00,1266.00,-1266.00
350125,2025-10-01,0.00,1242.00,-1242.00
354456,2025-11-01,1240.31,0.00,1240.31
348511,2025-11-01,-1230.00,0.00,-1230.00
350295,2025-10-01,0.00,1229.82,-1229.82
344816,2025-10-01,0.00,-1200.00,1200.00
352183,2025-10-01,0.00,1200.00,-1200.00
345041,2025-10-01,0.00,-1167.00,1167.00
353726,2025-11-01,1161.00,0.00,1161.00
352185,2025-10-01,0.00,1128.45,-1128.45
345077,2025-10-01,0.00,-1120.00,1120.00
352199,2025-10-01,0.00,1118.00,-1118.00
354136,2025-11-01,1117.83,0.00,1117.83
350127,2025-10-01,0.00,1100.00,-1100.00
351041,2025-10-01,0.00,1076.60,-1076.60
352200,2025-10-01,0.00,1065.00,-1065.00
