Contrato de Locação	Contrato Comercial	ValorAquisicao	Estratégia
LOC-2070-99/48	CTO-2070		Não Renova
LOC-1001-8/12	CTO-1001		Não Renova
LOC-1001-25/12	CTO-1001		Não Renova
LOC-1450-10/48	CTO-2070		Não Renova
LOC-1176-9/36	CTO-1176		Não Renova
LOC-1515-394/36	CTO-1515		Não Renova
LOC-1450-47/48	CTO-2070		Não Renova
LOC-1450-45/48	CTO-2070		Não Renova
LOC-2070-82/48	CTO-2070		Não Renova
LOC-1450-6/48	CTO-2070		Não Renova
LOC-2070-128/48	CTO-2070		Não Renova
LOC-2070-118/48	CTO-2070		Não Renova
LOC-2407-15/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-1515-362/36	CTO-1515		Não Renova
LOC-2407-77/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2070-107/48	CTO-2070		Não Renova
LOC-2115-10/36	CTO-2070		Não Renova
LOC-2070-27/48	CTO-2070		Não Renova
LOC-2070-126/48	CTO-2070		Não Renova
LOC-1450-50/48	CTO-2070		Não Renova
LOC-1515-329/24	CTO-1514	 R$ 57.191,00 	Renova com troca (zero)
LOC-2070-21/48	CTO-2070		Não Renova
LOC-1001-11/12	CTO-1001		Não Renova
LOC-2070-121/48	CTO-2070		Não Renova
LOC-1931-14/48	CTO-1931		Não Renova
LOC-2049-42/60	CTO-2070		Não Renova
LOC-2049-39/60	CTO-2070		Não Renova
LOC-1450-27/48	CTO-2070		Não Renova
LOC-1001-17/12	CTO-1001		Não Renova
LOC-1450-44/48	CTO-2070		Não Renova
LOC-1450-25/48	CTO-2070		Não Renova
LOC-2049-19/60	CTO-2070		Não Renova
LOC-1450-17/48	CTO-2070		Não Renova
LOC-1001-28/12	CTO-1001		Não Renova
LOC-2049-11/60	CTO-2070		Não Renova
LOC-1979-2/24	CTO-1979		Não Renova
LOC-1001-23/12	CTO-1001		Não Renova
LOC-1001-21/12	CTO-1001		Não Renova
LOC-2049-47/60	CTO-2070		Não Renova
LOC-1931-3/48	CTO-1931		Não Renova
LOC-2070-49/48	CTO-2070		Não Renova
LOC-1001-15/12	CTO-1001		Não Renova
LOC-2070-119/48	CTO-2070		Não Renova
LOC-2070-78/48	CTO-2070		Não Renova
LOC-2847-1/12	CTO-2847		Não Renova
LOC-2049-31/60	CTO-2070		Não Renova
LOC-2070-153/48	CTO-2070		Não Renova
LOC-1931-6/48	CTO-1931		Não Renova
LOC-2049-32/60	CTO-2070		Não Renova
LOC-2806-1/12	CTO-2806		Não Renova
LOC-1450-7/48	CTO-2070		Não Renova
LOC-2115-55/36	CTO-2070		Não Renova
LOC-1001-29/12	CTO-1001		Não Renova
LOC-1001-14/12	CTO-1001		Não Renova
LOC-1450-8/48	CTO-2070		Não Renova
LOC-2070-108/48	CTO-2070		Não Renova
LOC-2471-10/30	CTO-2471		Não Renova
LOC-1001-5/12	CTO-1001		Não Renova
LOC-2298-23/30	CTO-2298		Não Renova
LOC-1001-13/12	CTO-1001		Não Renova
LOC-2070-148/48	CTO-2070		Não Renova
LOC-1001-26/12	CTO-1001		Não Renova
LOC-2009-84/60	CTO-2070		Não Renova
LOC-2070-32/48	CTO-2070		Não Renova
LOC-2070-102/48	CTO-2070		Não Renova
LOC-1515-393/36	CTO-1515		Não Renova
LOC-1450-1/48	CTO-2070		Não Renova
LOC-1515-385/36	CTO-1515		Não Renova
LOC-1515-345/36	CTO-1515		Não Renova
LOC-2029-1/24	CTO-2699		Não Renova
LOC-1450-48/48	CTO-2070		Não Renova
LOC-1450-59/48	CTO-2070		Não Renova
LOC-2482-1/6	CTO-2685		Não Renova
LOC-2070-117/48	CTO-2070		Não Renova
LOC-2307-1/36	CTO-2307		Não Renova
LOC-2224-2/24	CTO-2795		Não Renova
LOC-2070-44/48	CTO-2070		Não Renova
LOC-2070-133/48	CTO-2070		Não Renova
