Contrato de Locação	Contrato Comercial	ValorAquisicao	Estratégia
LOC-2583-14/27	CTO-2583		Renova com mesmo Veiculo
LOC-2542-17/12	CTO-2542		Renova com mesmo Veiculo
LOC-2407-4/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2499-6/12	CTO-2499		Renova com mesmo Veiculo
LOC-2499-1/12	CTO-2499		Renova com mesmo Veiculo
LOC-2499-2/12	CTO-2499		Renova com mesmo Veiculo
LOC-2499-3/12	CTO-2499		Renova com mesmo Veiculo
LOC-2583-13/27	CTO-2583		Renova com mesmo Veiculo
LOC-2497-18/18	CTO-2497	 R$ 98.592,70 	Renova com troca (zero)
LOC-2583-11/27	CTO-2583		Renova com mesmo Veiculo
LOC-2499-8/12	CTO-2499		Renova com mesmo Veiculo
LOC-2499-5/12	CTO-2499		Renova com mesmo Veiculo
LOC-2583-9/27	CTO-2583		Renova com mesmo Veiculo
LOC-2499-4/12	CTO-2499		Renova com mesmo Veiculo
LOC-2656-1/12	CTO-2656		Renova com mesmo Veiculo
LOC-2656-2/12	CTO-2656		Renova com mesmo Veiculo
LOC-2487-4/12	CTO-2487		Renova com mesmo Veiculo
LOC-2497-11/18	CTO-2854	 R$ 102.476,00 	Renova com troca (zero)
LOC-2487-40/12	CTO-2487		Renova com mesmo Veiculo
LOC-2407-68/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2487-39/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-34/12	CTO-2487		Renova com mesmo Veiculo
LOC-2850-1/12	CTO-2850		Renova com mesmo Veiculo
LOC-1121-1/36	CTO-1121		Renova com mesmo Veiculo
LOC-2586-23/36	CTO-2130		Renova com mesmo Veiculo
LOC-2487-38/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-1/12	CTO-2487		Renova com mesmo Veiculo
LOC-2407-26/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2407-89/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-1515-321/24	CTO-1515		Renova com mesmo Veiculo
LOC-2487-43/12	CTO-2487		Renova com mesmo Veiculo
LOC-2879-1/12	CTO-2879		Renova com mesmo Veiculo
LOC-2407-69/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2487-16/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-3/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-30/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-35/12	CTO-2487		Renova com mesmo Veiculo
LOC-2407-58/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2487-37/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-23/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-7/12	CTO-2487		Renova com mesmo Veiculo
LOC-1515-322/24	CTO-1515		Renova com mesmo Veiculo
LOC-2487-19/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-31/12	CTO-2487		Renova com mesmo Veiculo
LOC-2407-29/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2676-2/12	CTO-2676		Renova com mesmo Veiculo
LOC-2487-5/12	CTO-2487		Renova com mesmo Veiculo
LOC-2407-8/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2487-44/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-11/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-12/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-24/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-10/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-33/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-22/12	CTO-2487		Renova com mesmo Veiculo
LOC-2407-64/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-10/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2487-2/12	CTO-2487		Renova com mesmo Veiculo
LOC-2487-20/12	CTO-2487		Renova com mesmo Veiculo
LOC-2526-1/24	CTO-2526		Renova com mesmo Veiculo
LOC-2407-19/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2487-8/12	CTO-2487		Renova com mesmo Veiculo
LOC-2473-174/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-188/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-190/12	CTO-2473		Renova com mesmo Veiculo
LOC-2528-6/24	CTO-2480		Renova com mesmo Veiculo
LOC-2407-54/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-106/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-1515-311/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-55/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-1/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-142/12	CTO-2473		Renova com mesmo Veiculo
LOC-2573-2/24	CTO-2573		Renova com mesmo Veiculo
LOC-1515-283/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-29/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-88/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-11/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2407-2/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2473-81/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-97/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-92/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-23/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-284/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-78/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-114/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-69/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-87/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-82/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-99/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-75/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-168/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-167/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-107/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-161/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-113/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-27/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-1/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2473-20/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-44/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-132/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-53/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-42/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-72/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-6/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2473-41/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-31/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-32/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-144/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-63/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-91/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-98/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-74/12	CTO-2473		Renova com mesmo Veiculo
LOC-2461-5/12	CTO-2461		Renova com mesmo Veiculo
LOC-2628-2/12	CTO-2862		Renova com mesmo Veiculo
LOC-2473-89/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-79/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-86/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-95/12	CTO-2473		Renova com mesmo Veiculo
LOC-2583-8/27	CTO-2583		Renova com mesmo Veiculo
LOC-2473-39/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-2/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-165/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-136/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-108/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-85/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-150/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-45/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-121/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-285/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-127/12	CTO-2473		Renova com mesmo Veiculo
LOC-2583-10/27	CTO-2583		Renova com mesmo Veiculo
LOC-2473-141/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-26/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-66/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-281/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-124/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-45/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-300/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-185/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-54/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-182/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-159/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-21/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-171/12	CTO-2473		Renova com mesmo Veiculo
LOC-2497-26/18	CTO-2497	 R$ 107.992,00 	Renova com troca (zero)
LOC-2407-63/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-40/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-183/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-131/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-67/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-173/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-319/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-157/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-320/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-172/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-179/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-177/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-55/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-59/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-137/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-282/24	CTO-1515		Renova com mesmo Veiculo
LOC-2799-1/12	CTO-2817		Renova com mesmo Veiculo
LOC-2473-176/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-30/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2473-178/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-180/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-53/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2407-61/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-128/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-58/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-3/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-4/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-130/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-34/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-49/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-48/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-47/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-8/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-46/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-187/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-36/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-57/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-156/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-96/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-305/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-143/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-100/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-93/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-62/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-1515-280/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-112/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-138/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-135/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-129/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-123/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-110/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-149/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-83/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-134/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-87/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-17/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-101/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-104/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-116/12	CTO-2473		Renova com mesmo Veiculo
LOC-2130-3/36	CTO-2130		Renova com mesmo Veiculo
LOC-1515-328/24	CTO-1515		Renova com mesmo Veiculo
LOC-1515-327/24	CTO-1515		Renova com mesmo Veiculo
LOC-2741-1/12	CTO-2741		Renova com mesmo Veiculo
LOC-2583-2/27	CTO-2583		Renova com mesmo Veiculo
LOC-2473-146/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-10/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-90/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-65/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-122/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-80/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-148/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-11/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-154/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-164/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-104/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-189/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-152/12	CTO-2473		Renova com mesmo Veiculo
LOC-2583-4/27	CTO-2583		Renova com mesmo Veiculo
LOC-2473-101/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-153/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-41/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-145/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-50/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-37/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-43/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-181/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-28/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-16/12	CTO-2473		Renova com mesmo Veiculo
LOC-2840-1/12	CTO-2840		Renova com mesmo Veiculo
LOC-2473-14/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-38/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-162/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-52/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2763-1/30	CTO-2763		Renova com mesmo Veiculo
LOC-1515-279/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-43/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-57/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-9/12	CTO-2473		Renova com mesmo Veiculo
LOC-2583-6/27	CTO-2583		Renova com mesmo Veiculo
LOC-2473-24/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-61/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-19/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-155/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-56/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-160/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-70/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-84/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-46/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2473-6/12	CTO-2473		Renova com mesmo Veiculo
LOC-2586-56/36	CTO-2130		Renova com mesmo Veiculo
LOC-2473-65/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-169/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-103/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-76/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-115/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-151/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-68/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-119/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-94/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-133/12	CTO-2473		Renova com mesmo Veiculo
LOC-2586-46/36	CTO-2130		Renova com mesmo Veiculo
LOC-2473-109/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-170/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-158/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-139/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-126/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-147/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-30/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-163/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-98/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2473-33/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-125/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-191/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-40/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-13/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-107/30	CTO-2407	 R$ 60.562,00 	Renova com troca (zero)
LOC-2473-73/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-18/12	CTO-2473		Renova com mesmo Veiculo
LOC-2586-19/36	CTO-2130		Renova com mesmo Veiculo
LOC-2473-71/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-106/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-77/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-102/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-64/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-120/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-34/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2407-51/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2407-49/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2473-175/12	CTO-2473		Renova com mesmo Veiculo
LOC-2786-1/12	CTO-2786		Renova com mesmo Veiculo
LOC-2583-3/27	CTO-2583		Renova com mesmo Veiculo
LOC-2473-111/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-105/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2834-1/12	CTO-2834		Renova com mesmo Veiculo
LOC-2473-51/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-96/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2407-38/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-95/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2473-5/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-52/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-31/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2473-15/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-60/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-62/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-35/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-3/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2473-59/12	CTO-2473		Renova com mesmo Veiculo
LOC-2586-32/36	CTO-2130		Renova com mesmo Veiculo
LOC-2407-86/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2473-117/12	CTO-2473		Renova com mesmo Veiculo
LOC-1515-333/24	CTO-1515		Renova com mesmo Veiculo
LOC-2473-100/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-83/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2473-25/12	CTO-2473		Renova com mesmo Veiculo
LOC-2407-32/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2407-85/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2473-118/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-184/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-186/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-166/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-22/12	CTO-2473		Renova com mesmo Veiculo
LOC-2473-105/12	CTO-2473		Renova com mesmo Veiculo
LOC-2674-2/12	CTO-2674		Renova com mesmo Veiculo
LOC-2674-1/12	CTO-2674		Renova com mesmo Veiculo
LOC-2461-3/12	CTO-2887		Renova com mesmo Veiculo
LOC-2275-1/12	CTO-2899		Renova com mesmo Veiculo
LOC-2407-99/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2497-17/18	CTO-2497		Renova com mesmo Veiculo
LOC-2799-2/12	CTO-2799		Renova com Troca (Seminovo)
LOC-2844-2/12	CTO-2844		Renova com Troca (Seminovo)
LOC-2873-1/1	CTO-2873		Renova com Troca (Seminovo)
LOC-2884-1/12	CTO-2884		Renova com Troca (Seminovo)
LOC-2407-48/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2407-33/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2888-1/12	CTO-2888		Renova com Troca (Seminovo)
LOC-2298-85/30	CTO-2298		Renova com troca (SEMINOVO)
LOC-2407-88/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2064-1/18	CTO-2064		Renova com Troca (Seminovo)
LOC-2500-1/24	CTO-2500		Renova com Troca (Seminovo)
LOC-2417-2/12	CTO-2725		Renova com Troca (Seminovo)
LOC-2811-1/12	CTO-2811		Renova com Troca (Seminovo)
LOC-2623-1/12	CTO-2844		Renova com Troca (Seminovo)
LOC-2577-2/18	CTO-2577		Renova com Troca (Seminovo)
LOC-2600-2/24	CTO-2600		Renova com Troca (Seminovo)
LOC-2617-5/18	CTO-2617		Renova com Troca (Seminovo)
LOC-2816-1/36	CTO-2816		Sublocado
LOC-2701-5/48	CTO-2701		Sublocado
LOC-2701-14/48	CTO-2701		Sublocado
LOC-2701-13/48	CTO-2701		Sublocado
LOC-2701-16/48	CTO-2701		Sublocado
LOC-1515-489/36	CTO-1515		Sublocado
LOC-2701-2/48	CTO-2701		Sublocado
LOC-2701-9/48	CTO-2701		Sublocado
LOC-2701-4/48	CTO-2701		Sublocado
LOC-2701-3/48	CTO-2701		Sublocado
LOC-2701-8/48	CTO-2701		Sublocado
LOC-2701-12/48	CTO-2701		Sublocado
LOC-2701-17/48	CTO-2701		Sublocado
LOC-1515-490/36	CTO-1515		Sublocado
LOC-2407-97/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2701-6/48	CTO-2701		Sublocado
LOC-2701-7/48	CTO-2701		Sublocado
LOC-2407-84/30	CTO-2407	 R$ 77.122,00 	Renova com troca (zero)
LOC-2701-11/48	CTO-2701		Sublocado
LOC-2701-1/48	CTO-2701		Sublocado
LOC-2497-12/18	CTO-2854	 R$ 102.476,00 	Renova com troca (zero)
LOC-2524-10/36	CTO-2744		Sublocado
LOC-2706-3/24	CTO-2706		Sublocado
LOC-2701-15/48	CTO-2701		Sublocado
LOC-2707-1/36	CTO-2707		Sublocado
LOC-2234-4/24	CTO-2234	 R$ 109.152,00 	Renova com troca (zero)
LOC-2589-1/60	CTO-2589	 R$ 128.581,65 	Renova com troca (zero)
LOC-2589-5/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-1515-526/36	CTO-1515		Aguardando periodo para analise 
LOC-1515-528/36	CTO-1515		Aguardando periodo para analise 
LOC-2589-2/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-3/60	CTO-2589	 R$ 128.581,65 	Renova com troca (zero)
LOC-2589-4/60	CTO-2589	 R$ 128.581,65 	Renova com troca (zero)
LOC-2589-10/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-7/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-8/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2234-6/24	CTO-2234	 R$ 109.152,00 	Renova com troca (zero)
LOC-2589-6/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-9/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2604-6/36	CTO-2604		Aguardando periodo para analise 
LOC-2589-11/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2603-26/24	CTO-2603		Aguardando periodo para analise 
LOC-2589-12/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2234-5/24	CTO-2234	 R$ 80.263,00 	Renova com troca (zero)
LOC-2589-14/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-13/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2234-8/24	CTO-2234		Aguardando periodo para analise 
LOC-2774-1/24	CTO-2774		Aguardando periodo para analise 
LOC-2589-15/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-1515-264/24	CTO-1515	 R$ 150.269,00 	Renova com troca (zero)
LOC-1515-347/36	CTO-1515	 R$ 155.393,00 	Renova com troca (zero)
LOC-2589-16/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-1515-504/36	CTO-1515		Aguardando periodo para analise 
LOC-1515-339/36	CTO-1515	 R$ 87.216,00 	Renova com troca (zero)
LOC-1515-506/36	CTO-1515		Aguardando periodo para analise 
LOC-2589-17/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-19/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-1515-343/36	CTO-1515	 R$ 155.393,00 	Renova com troca (zero)
LOC-1515-510/36	CTO-1515		Aguardando periodo para analise 
LOC-1515-515/36	CTO-1515		Aguardando periodo para analise 
LOC-1515-338/36	CTO-1515	 R$ 87.216,00 	Renova com troca (zero)
LOC-2589-18/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-20/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-1515-341/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-1514-52/24	CTO-1514		Aguardando periodo para analise 
