IdNota;ValorFaturado;RawRow
2248899;45489.01;"{""IdNota"":""2248899"",""Nota"":""FA-54542"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""NEOCONSTEC CONSULTORIA TECNICA LTDA"",""Valor Faturado"":""R$45.489,01"",""ValorCompra"":""R$1.405.920,28""}"
2249138;39852.57;"{""IdNota"":""2249138"",""Nota"":""FA-54557"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""SIMEMP SERVICOS TECNICOS E OBRAS LTDA"",""Valor Faturado"":""R$39.852,57"",""ValorCompra"":""R$1.194.368,36""}"
2248812;37136.56;"{""IdNota"":""2248812"",""Nota"":""FA-54537"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""MAQCAMPO SOLUCOES AGRICOLAS S/A"",""Valor Faturado"":""R$37.136,56"",""ValorCompra"":""R$1.631.617,61""}"
2240015;34969.03;"{""IdNota"":""2240015"",""Nota"":""FA-54394"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""TAG ENGENHARIA"",""Valor Faturado"":""R$34.969,03"",""ValorCompra"":""R$1.030.635,23""}"
2240019;34855.38;"{""IdNota"":""2240019"",""Nota"":""FA-54395"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""ZAAZ TELECOM"",""Valor Faturado"":""R$34.855,38"",""ValorCompra"":""R$1.068.782,70""}"
2258256;34231.49;"{""IdNota"":""2258256"",""Nota"":""FA-54589"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""02/03/2026"",""Cliente"":""TCM SP"",""Valor Faturado"":""R$34.231,49"",""ValorCompra"":""R$1.177.008,00""}"
2259562;33808.56;"{""IdNota"":""2259562"",""Nota"":""FA-54595"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""03/03/2026"",""Cliente"":""WTL TELECOMUNICACOES DO BRASIL LTDA"",""Valor Faturado"":""R$33.808,56"",""ValorCompra"":""R$1.034.128,44""}"
2247965;33222.60;"{""IdNota"":""2247965"",""Nota"":""FA-54530"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ENGEFIELD ENGENHARIA E SERVICOS DE TELECOMUNICACOES LTDA"",""Valor Faturado"":""R$33.222,60"",""ValorCompra"":""R$949.404,85""}"
2264406;32124.00;"{""IdNota"":""2264406"",""Nota"":""FA-54617"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""04/03/2026"",""Cliente"":""FTDF"",""Valor Faturado"":""R$32.124,00"",""ValorCompra"":""R$1.064.616,55""}"
2248187;29781.86;"{""IdNota"":""2248187"",""Nota"":""FA-54534"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""INFRAMERICA"",""Valor Faturado"":""R$29.781,86"",""ValorCompra"":""R$1.003.384,90""}"
2247767;29601.91;"{""IdNota"":""2247767"",""Nota"":""FA-54520"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""COMPEL"",""Valor Faturado"":""R$29.601,91"",""ValorCompra"":""R$869.236,51""}"
2271617;27300.00;"{""IdNota"":""2271617"",""Nota"":""FA-54632"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""06/03/2026"",""Cliente"":""CAMARA DOS DEPUTADOS"",""Valor Faturado"":""R$27.300,00"",""ValorCompra"":""R$703.842,60""}"
2249333;26967.98;"{""IdNota"":""2249333"",""Nota"":""FA-54567"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""YUDO SA"",""Valor Faturado"":""R$26.967,98"",""ValorCompra"":""R$966.013,90""}"
2264308;25858.22;"{""IdNota"":""2264308"",""Nota"":""FA-54612"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""04/03/2026"",""Cliente"":""SECRETARIA DE ESTADO DA EDUCACAO - SEE PB"",""Valor Faturado"":""R$25.858,22"",""ValorCompra"":""R$672.144,62""}"
2264488;25078.26;"{""IdNota"":""2264488"",""Nota"":""FA-54619"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""04/03/2026"",""Cliente"":""SES - SECRETARIA DE ESTADO DA SAUDE  PB"",""Valor Faturado"":""R$25.078,26"",""ValorCompra"":""R$633.419,40""}"
2248953;22551.10;"{""IdNota"":""2248953"",""Nota"":""FA-54550"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""PETROFORTE"",""Valor Faturado"":""R$22.551,10"",""ValorCompra"":""R$0,00""}"
2247923;21125.75;"{""IdNota"":""2247923"",""Nota"":""FA-54523"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""CONSORCIO SOLUCAO DOR - LOTE 08"",""Valor Faturado"":""R$21.125,75"",""ValorCompra"":""R$639.167,95""}"
